format,input_dtype,output_dtype,mode,round,distribution,max_abs,mae,mse,payload_ratio,file_ratio
0,1,0,1,1,uniform,0.06201171875,0.0140474777143,0.000379284918013,1.99996995373,1.99733037375
0,1,0,1,1,normal,0.2890625,0.0240199801233,0.00142419405673,1.99996995373,1.99733037375
0,1,0,1,1,outliers,15.125,0.0466793782525,0.128737694701,1.99996995373,1.99733037375
0,1,1,0,0,uniform,0.03125,0.0104889629294,0.000188360429158,1.9328358209,1.93039369166
0,1,1,0,0,normal,0.2109375,0.0179455461545,0.000703797329023,1.9328358209,1.93039369166
0,1,1,0,0,outliers,14.25,0.0348546550016,0.0626971338026,1.9328358209,1.93039369166
0,1,1,0,1,uniform,0.06201171875,0.0140474777143,0.000379284918013,1.9328358209,1.93039369166
0,1,1,0,1,normal,0.2890625,0.0240199796648,0.00142419405672,1.9328358209,1.93039369166
0,1,1,0,1,outliers,15.125,0.0466738204003,0.128737687704,1.9328358209,1.93039369166
0,1,1,1,0,uniform,0.03125,0.0104889629294,0.000188360429158,1.99996995373,1.99733037375
0,1,1,1,0,normal,0.2109375,0.0179455465808,0.000703797329029,1.99996995373,1.99733037375
0,1,1,1,0,outliers,14.25,0.0348589027372,0.062697137416,1.99996995373,1.99733037375
0,1,1,1,1,uniform,0.06201171875,0.0140474777143,0.000379284918013,1.99996995373,1.99733037375
0,1,1,1,1,normal,0.2890625,0.0240199801233,0.00142419405673,1.99996995373,1.99733037375
0,1,1,1,1,outliers,15.125,0.0466793782525,0.128737694701,1.99996995373,1.99733037375
0,1,2,0,0,uniform,0.03125,0.0104889629294,0.000188360429158,1.9328358209,1.93039369166
0,1,2,0,0,normal,0.2109375,0.0179455461545,0.000703797329023,1.9328358209,1.93039369166
0,1,2,0,0,outliers,14.25,0.0348546550016,0.0626971338026,1.9328358209,1.93039369166
0,1,2,0,1,uniform,0.06201171875,0.0140474777143,0.000379284918013,1.9328358209,1.93039369166
0,1,2,0,1,normal,0.2890625,0.0240199796648,0.00142419405672,1.9328358209,1.93039369166
0,1,2,0,1,outliers,15.125,0.0466738204003,0.128737687704,1.9328358209,1.93039369166
0,1,2,1,0,uniform,0.03125,0.0104889629294,0.000188360429158,1.99996995373,1.99733037375
0,1,2,1,0,normal,0.2109375,0.0179455465808,0.000703797329029,1.99996995373,1.99733037375
0,1,2,1,0,outliers,14.25,0.0348589027372,0.062697137416,1.99996995373,1.99733037375
0,1,2,1,1,uniform,0.06201171875,0.0140474777143,0.000379284918013,1.99996995373,1.99733037375
0,1,2,1,1,normal,0.2890625,0.0240199801233,0.00142419405673,1.99996995373,1.99733037375
0,1,2,1,1,outliers,15.125,0.0466793782525,0.128737694701,1.99996995373,1.99733037375
1,0,0,0,0,uniform,0.0624995231628,0.0208574278551,0.000744207366505,3.86567164179,3.86009161014
1,0,0,0,0,normal,0.249968290329,0.0358478071186,0.00279599204556,3.86567164179,3.86009161014
1,0,0,0,0,outliers,17.8247070312,0.0691940492003,0.237825957803,3.86567164179,3.86009161014
1,0,0,0,1,uniform,0.123611390591,0.0278709029336,0.00149759422166,3.86567164179,3.86009161014
1,0,0,0,1,normal,0.4967212677,0.0477915948161,0.00560063866679,3.86567164179,3.86009161014
1,0,0,0,1,outliers,46.1752929688,0.093191035197,0.524410181958,3.86567164179,3.86009161014
1,0,0,1,0,uniform,0.0624995231628,0.0208574278551,0.000744207366505,3.99993990746,3.99394084828
1,0,0,1,0,normal,0.249968290329,0.0358478071186,0.00279599204556,3.99993990746,3.99394084828
1,0,0,1,0,outliers,17.8247070312,0.0691940492003,0.237825957803,3.99993990746,3.99394084828
1,0,0,1,1,uniform,0.123611390591,0.0278709029336,0.00149759422166,3.99993990746,3.99394084828
1,0,0,1,1,normal,0.4967212677,0.0477915948161,0.00560063866679,3.99993990746,3.99394084828
1,0,0,1,1,outliers,46.1752929688,0.093191035197,0.524410181958,3.99993990746,3.99394084828
1,0,1,0,0,uniform,0.0624995231628,0.0208574278551,0.000744207366505,3.86567164179,3.86009161014
1,0,1,0,0,normal,0.249968290329,0.0358478071186,0.00279599204556,3.86567164179,3.86009161014
1,0,1,0,0,outliers,17.8247070312,0.0691940492003,0.237825957803,3.86567164179,3.86009161014
1,0,1,0,1,uniform,0.123611390591,0.0278709029336,0.00149759422166,3.86567164179,3.86009161014
1,0,1,0,1,normal,0.4967212677,0.0477915948161,0.00560063866679,3.86567164179,3.86009161014
